Date,Close,High,Low,Open,Volume
20241223,254.1206817626953,254.49896052911285,252.30886880268173,253.62293295259332,40858800
20241224,257.0374755859375,257.0474099027653,254.14055892454206,254.3396705835317,23234700
20241226,257.853759765625,258.9289141129315,256.47003399402934,257.0275101814573,27237100
20241227,254.439208984375,257.5352220874343,251.9206014592013,256.6691137206059,42355300
20241230,251.06448364257812,252.35863351915538,249.6210152068174,251.09434735441482,35557500
20241231,249.29251098632812,252.1396347735265,248.30696287880588,251.30342042234355,39480700
20250102,242.75210571289062,247.97846832553566,240.73124671787497,247.80922035937212,55740700
20250103,242.26431274414062,243.080612931882,240.80092995907523,242.26431274414062,40244100
20250106,243.89691162109375,246.21642284830082,242.10501290585998,243.2100158477468,45045600
20250107,241.11947631835938,244.44443460073458,240.263347789176,241.88599852058522,40856000
20250108,241.60726928710938,242.61273160476242,238.9692066706783,240.83078235887348,37628900
20250110,235.7836151123047,239.0787097724967,231.95094323601768,238.9293760168756,61710900
20250113,233.34463500976562,233.61342361918983,228.68571346021633,232.47855694506205,49630700
20250114,232.2296905517578,235.05690023183175,231.42333988575893,233.69307331230715,39435300
20250115,236.79901123046875,237.88411516800545,233.3744970274307,233.5835582088168,39832000
20250116,227.23228454589844,236.9383864807084,227.0033243432251,236.28136958651152,71759100
20250117,228.9445343017578,231.24413133243607,227.4512878984511,231.07489856287185,68488300
20250121,221.6375732421875,223.40955766052627,218.39225670760806,222.9914505136237,98070400
20250122,222.82223510742188,223.1109227348787,218.80041619812283,218.80041619812283,64126500
20250123,222.65301513671875,226.0078374632505,221.29913768199057,223.72815445577547,60234800
20250124,221.77694702148438,224.614121166801,220.4131202139208,223.76794215782238,54697900
20250127,228.82508850097656,231.10477141655377,222.9715575076631,223.01138591977585,94863400
20250128,237.187255859375,239.1085741517517,229.77080167884077,229.81063008981926,75707600
20250129,238.2823028564453,238.78005164957875,232.9563846938824,233.06589003597526,45486100
20250130,236.52027893066406,239.7058683175974,236.14200015946125,237.59541819689565,55658300
20250131,234.9374237060547,246.0770438113447,232.38895238779278,246.0770438113447,100959800
20250203,226.9833984375,230.78620649590428,224.6838014511222,228.95449458875606,73063300
20250204,231.75184631347656,232.08036234711574,225.62952690670866,226.2268315478868,45067300
20250205,231.42332458496094,231.62242106375825,227.24223776986636,227.50106167329415,39620300
20250206,232.16995239257812,232.74734282564026,229.39250557129796,230.24863411824003,29925300
20250207,226.60511779785156,232.94643248808816,226.23677336593994,231.5527419594936,39707200
20250210,226.8741912841797,229.80417456619486,226.42572786906877,228.7876615470872,33115600
20250211,231.8272705078125,234.42837673351212,227.3525813044295,227.42233485023965,53718400
20250212,236.06277465820312,236.15247950770552,229.89386689621963,230.41209906543347,45243300
20250213,240.70689392089844,241.514131106333,234.7672133917818,236.10264318513748,53614100
20250214,243.76644897460938,244.71320848741047,240.16875066053348,240.4278591482801,40896200
20250218,243.6368865966797,244.34445851454996,241.01584434943877,243.31796980618805,48822500
20250219,244.03550720214844,245.17162160901916,242.33134319523683,243.8262313730556,32204200
20250220,244.99224853515625,245.93900803040836,243.45748811790233,244.10528213544586,32316900
20250221,244.71319580078125,247.84249441981407,244.38431857946645,245.11182656230832,53197400
20250224,246.25791931152344,248.01191597096326,243.58704451830639,244.0953010258401,51326400
20250225,246.1981201171875,249.14803959700342,244.0753891604379,247.15485528022737,48013300
20250226,239.5408935546875,244.14514449402503,238.3150894487839,243.49736566903925,44433600
20250227,236.49131774902344,241.6337368385667,236.25213016109495,238.5941277716784,41153600
20250228,241.01583862304688,241.26498665715278,229.41550676334808,236.14250368420718,56833400
20250303,237.2188262939453,243.1983791446907,235.30537120652147,240.96600727263495,47184000
20250304,235.1259765625,239.25188262538288,233.88023638606123,236.89992456399492,53798100
20250305,234.93663024902344,235.7438674276595,228.44880585950324,234.61771347352882,47227600
20250306,234.52804565429688,237.0494227188423,232.36544239217005,233.64107919926062,45170400
20250307,238.2552947998047,240.54744460053885,233.95996981993864,234.30878315837532,46273600
20250310,226.70477294921875,235.35520052510583,223.45588808739058,234.73730306532093,72071200
20250311,220.08740234375,225.0703629938446,216.7089556312574,223.04728218644934,76137400
20250312,216.2405548095703,220.99430349899413,214.17761702040198,219.3897895710681,62547500
20250313,208.96542358398438,216.10102664759694,207.70972301630272,215.21406028960521,61368300
20250314,212.762451171875,213.22087501834247,208.86577244295887,210.53007941159925,60107600
20250317,213.2707061767578,214.48654973692538,209.25444129100026,212.58305520506434,48073400
20250318,211.96519470214844,214.4168029665515,210.76928711901598,213.43018643369246,42432400
20250319,214.50648498535156,218.0144781615262,213.0215573102422,213.48995680484757,54385400
20250320,213.37039184570312,216.74883872802718,211.49679368091097,213.2607660976187,48862900
20250321,217.5261688232422,218.09421843072647,210.55998434888178,210.83902892918795,94127800
20250324,219.97776794433594,220.72521201243578,217.8351010318318,220.24685206675267,44299500
20250325,222.98748779296875,223.3363011191594,219.32999652191663,220.0176475207108,34493600
20250326,220.77505493164062,224.25316696482244,219.71866969932233,222.7483031053444,34466100
20250327,223.08717346191406,224.22328797900445,219.8083765580053,220.63554992146092,37094800
20250328,217.1574249267578,223.04728822423488,216.93817343567548,220.91458161653458,39818600
20250331,221.37301635742188,224.8511131847691,215.49311362240712,216.27045427307317,65299300
20250401,222.4293975830078,222.91771798921508,218.15400887457568,219.06091135294477,36412700
20250402,223.12701416015625,224.4225869866718,220.2667995775576,220.56578026164416,35905900
20250403,202.49754333496094,206.78289223919597,200.56415230327434,204.8395255545537,103419000
20250404,187.738037109375,199.19884701911502,186.70157274086588,193.2292544699453,125910900
20250407,180.84161376953125,193.48835506739644,174.02491207450518,176.59612158290105,160466300
20250408,171.83241271972656,189.6913418115003,168.63336050772435,186.06374707733985,120859500
20250409,198.17236328125,199.92636006312654,171.30423111843703,171.3640242168161,184395900
20250410,189.7710723876953,194.11621470149436,182.37636057603893,188.42568213047016,121880000
20250411,197.4747314453125,198.85999394662434,185.42593581806156,185.46580802047046,87435900
20250414,201.82984924316406,212.2143377637297,200.47448329230923,210.7194495182335,101352900
20250415,201.4511260986328,202.81645240683693,199.11910423874315,201.1720815277121,51343900
20250416,193.6079559326172,200.01603598224625,191.71442177543545,197.68401406478426,59732400
20250417,196.3087158203125,198.15241736523095,193.75744237056688,196.5279673080365,52164700
20250421,192.50173950195312,193.13955785695288,189.1631497833642,192.61136524453693,46742500
20250422,199.059326171875,200.9030125684292,195.3021694205859,195.45165216386687,52976400
20250423,203.9027557373047,207.29116289420588,202.10888686320854,205.29797863560773,52929200
20250424,207.659912109375,208.11835121294007,202.2484237558185,204.1917755069081,47311000
20250425,208.56680297851562,209.0352025034097,205.49729734578435,205.66671618569228,38222300
20250428,209.4238739013672,210.77923983434187,206.7530142372406,209.2843516085664,38743100
20250429,210.490234375,211.51672307140856,207.6599011161091,207.978817902887,36827600
20250430,211.7758331298828,212.8521544830753,205.96569903614,208.58674127234366,52286500
20250501,212.59304809570312,213.82881264887993,208.18809734114114,208.3674918385056,57365700
20250502,204.6501922607422,206.2846026840361,201.47106105284274,205.38766067678682,101010600
20250505,198.21221923828125,203.4044712176219,197.5345438511527,202.40787903175757,69018500
20250506,197.83349609375,199.96620262041338,196.34858356859348,197.5345306234426,51216500
20250507,195.58120727539062,198.7603386318323,192.59143085844198,198.49125449640593,68536700
20250508,196.81698608398438,199.3682595147921,194.0165494128041,197.04619801698016,50478900
20250509,197.8534393310547,199.85658408831688,196.86680762308345,198.32183886048443,36453900
20250512,210.34713745117188,210.82613996616402,206.31563192374182,210.52676720097676,63775800
20250513,212.48263549804688,212.95164926547025,208.56089957562318,209.98788789546765,51909300
20250514,211.88389587402344,213.49051386836734,210.13757262915965,211.98367663769176,49325800
20250515,211.00575256347656,212.51258988469863,209.0997617101353,210.506803034962,45029500
20250516,210.81614685058594,212.12340739052024,209.3292870180407,211.9138418912236,54737900
20250519,208.3413543701172,209.0398806327114,203.83084657536088,207.47318710280226,46140500
20250520,206.42539978027344,208.03201787298204,204.5992426766309,207.23369558110693,42496600
20250521,201.6654052734375,206.60500227852873,200.28831500749223,204.73893602091724,59211800
20250522,200.9369354248047,202.32401437172413,199.28041949489233,200.2883071907537,46742400
20250523,194.85975646972656,197.28464391104225,193.05356158182016,193.26311186041877,78432900
20250527,199.78936767578125,200.31825293342968,197.01519441683536,197.88337691051132,56288500
20250528,199.99891662597656,202.30406088976383,199.48000488022652,200.16855762950956,45339700
20250529,199.5299072265625,203.38179807643976,198.09293019267844,203.15228556391767,51396800
20250530,200.4280242919922,201.53569281345096,196.36656797106642,198.95112277889336,70819900
20250602,201.27622985839844,201.70533435611304,199.69954757512772,199.85921507319503,35423300
20250603,202.84292602539062,203.34187550579085,200.53778186221837,200.92696184786135,46381600
20250604,202.39389038085938,205.80670326672896,201.67540185470463,202.48369763994597,43604000
20250605,200.20849609375,204.3198354061699,199.7294935749724,203.07246156364138,55126100
20250606,203.49156188964844,205.26782088834017,201.62549563553227,202.57349663849442,46607700
20250609,201.02676391601562,205.56720771427428,199.59977555964565,203.96058960802065,72862600
20250610,202.2441864013672,203.92066462184746,200.14860765917956,200.1785434107301,54672600
20250611,198.36236572265625,204.07034932786254,197.99314795828434,203.0724503091444,60989900
20250612,198.78147888183594,199.26046614106752,196.94534836583952,198.66173587371065,43904600
20250613,196.03726196289062,199.9490243445518,195.2888376882346,199.3103695725812,51447300
20250616,198.0031280517578,198.27256505925683,196.1470352061455,196.8854859861783,43020700
20250617,195.2289581298828,197.97318035709665,194.79986887227625,196.78567812068002,38856200
20250618,196.16697692871094,197.15490236836843,194.66015499959357,195.52832221137376,45394700
20250620,200.57769775390625,201.27622400422058,196.44639652864126,197.8235020126397,96813500
20250623,201.07666015625,201.87498244787415,198.54200324907936,201.20639190632414,55814300
20250624,199.87918090820312,203.0125832870988,199.77938491343542,202.16436301176623,54064000
20250625,201.13653564453125,203.2421033073339,200.19850807531137,201.0267661369261,39525700
20250626,200.57769775390625,202.2142514946699,199.04094000321476,201.00678701240994,50799100
20250627,200.65753173828125,202.7930349784745,199.57979899649257,201.4658274879402,73188600
20250630,204.7389373779297,206.95427439094752,198.84135059390303,201.58557286233471,91912800
20250701,207.3833770751953,209.74839282792448,205.70689884063935,206.23578409144605,78788900
20250702,211.99366760253906,212.8917706186518,207.7026988246806,208.47108532398713,67941800
20250703,213.10134887695312,214.19902871499423,211.36499901814886,211.70428104663077,34955800
20250707,209.50889587402344,215.77570049162512,208.36131809352125,212.23315593085263,50229000
20250708,209.5687713623047,210.98578616820197,208.01205130024096,209.658593847986,42848900
20250709,210.69639587402344,210.8859991217609,206.78463359109693,209.0897778625777,48749400
20250710,211.96372985839844,213.03147386855414,209.58872537016995,210.06771262581316,44443600
20250711,210.7163543701172,211.68431760849728,209.41908263784933,210.12759762046792,39765800
